"Data Cache: Reflectometry Data"
"Start logging at 11/05/2024 15:07:17"
"Current index value = 1978"
Day Fraction	Calib 950	Calib 470	Err 950	Err 470	Time	
0.657354474	0.377017	0.309738	0	0	15:46:37.890	
0.657366216	0.377017	0.291951	0	0	15:46:38.905	
0.657377839	0.369215	0.302232	0	0	15:46:39.921	
0.657389581	0.241915	0.340573	0	0	15:46:40.936	
0.657401145	0.149	0.375861	0	0	15:46:41.948	
0.657412887	0.114665	0.387234	0	0	15:46:42.959	
0.657424629	0.121549	0.387483	0	0	15:46:43.972	
0.657436073	0.193023	0.387483	0	0	15:46:44.986	
0.657447994	0.283766	0.387483	0	0	15:46:45.986	
0.657459617	0.3367	0.386755	0	0	15:46:46.999	
0.657471478	0.348793	0.380933	0	0	15:46:48.10	
0.657483101	0.348793	0.349297	0	0	15:46:49.22	
0.657494962	0.348793	0.306654	0	0	15:46:50.38	
0.657506585	0.348793	0.297975	0	0	15:46:51.53	
0.657518327	0.325311	0.31098	0	0	15:46:52.66	
0.657529891	0.205827	0.349703	0	0	15:46:53.77	
0.657541633	0.138364	0.380108	0	0	15:46:54.86	
0.657553256	0.109361	0.388351	0	0	15:46:55.86	
0.657565176	0.133864	0.388463	0	0	15:46:56.98	
0.65757674	0.21637	0.388463	0	0	15:46:57.98	
0.657588482	0.324916	0.388463	0	0	15:46:58.107	
0.657600105	0.377774	0.387805	0	0	15:46:59.117	
0.657611966	0.379197	0.377743	0	0	15:47:00.118	
0.657623589	0.379197	0.341119	0	0	15:47:01.133	
0.657635331	0.379197	0.298081	0	0	15:47:02.147	
0.657646954	0.378577	0.30072	0	0	15:47:03.148	
0.657658815	0.341272	0.314449	0	0	15:47:04.159	
0.657670379	0.199333	0.356284	0	0	15:47:05.171	
0.65768218	0.129453	0.382784	0	0	15:47:06.178	
0.657693923	0.104913	0.38893	0	0	15:47:07.193	
0.657705486	0.13233	0.389024	0	0	15:47:08.205	
0.657717228	0.201746	0.389024	0	0	15:47:09.208	
0.657728851	0.288445	0.389024	0	0	15:47:10.221	
0.657740772	0.354836	0.388557	0	0	15:47:11.235	
0.657752216	0.366806	0.377247	0	0	15:47:12.246	
0.657764077	0.366806	0.343576	0	0	15:47:13.258	
0.6577757	0.366806	0.305327	0	0	15:47:14.258	
0.657787621	0.365659	0.299077	0	0	15:47:15.274	
0.657799065	0.327614	0.313855	0	0	15:47:16.274	
0.657810926	0.1846	0.361328	0	0	15:47:17.287	
0.657822549	0.12914	0.383716	0	0	15:47:18.290	
0.657834411	0.106264	0.388323	0	0	15:47:19.298	
0.657845855	0.146396	0.388323	0	0	15:47:20.307	
0.657857597	0.231818	0.388323	0	0	15:47:21.303	
0.65786916	0.339041	0.388323	0	0	15:47:22.306	
0.657880902	0.378521	0.387343	0	0	15:47:23.306	
0.657892644	0.379885	0.372033	0	0	15:47:24.306	
0.657904088	0.379885	0.335938	0	0	15:47:25.322	
0.657915831	0.379885	0.295965	0	0	15:47:26.323	
0.657927394	0.378049	0.302624	0	0	15:47:27.331	
0.657939136	0.326038	0.320968	0	0	15:47:28.341	
0.65795058	0.168459	0.363468	0	0	15:47:29.354	
0.657962441	0.120274	0.384309	0	0	15:47:30.366	
0.657974124	0.102729	0.387903	0	0	15:47:31.368	
0.657985985	0.141053	0.387903	0	0	15:47:32.383	
0.657997549	0.209012	0.387903	0	0	15:47:33.398	
0.658009171	0.291255	0.387903	0	0	15:47:34.410	
0.658021092	0.341986	0.386783	0	0	15:47:35.426	
0.658032537	0.346384	0.371212	0	0	15:47:36.428	
0.658044398	0.346384	0.336107	0	0	15:47:37.437	
0.658055842	0.346384	0.299376	0	0	15:47:38.439	
0.658067703	0.343668	0.299373	0	0	15:47:39.442	
0.658079207	0.288399	0.318742	0	0	15:47:40.455	
0.658091068	0.159206	0.364471	0	0	15:47:41.469	
0.658102691	0.117966	0.38303	0	0	15:47:42.474	
0.658114552	0.106468	0.385383	0	0	15:47:43.481	
0.658125997	0.16029	0.385383	0	0	15:47:44.494	
0.658137858	0.259928	0.385383	0	0	15:47:45.506	
0.65814954	0.33101	0.385383	0	0	15:47:46.520	
0.658161402	0.361324	0.382255	0	0	15:47:47.531	
0.658172846	0.361643	0.360261	0	0	15:47:48.540	
0.658184707	0.361643	0.316363	0	0	15:47:49.555	
0.65819633	0.361643	0.291058	0	0	15:47:50.568	
0.658208072	0.353076	0.299699	0	0	15:47:51.583	
0.658219814	0.282517	0.323007	0	0	15:47:52.585	
0.658231378	0.151743	0.36568	0	0	15:47:53.597	
0.65824312	0.112498	0.382598	0	0	15:47:54.611	
0.658254802	0.104921	0.384402	0	0	15:47:55.618	
0.658266664	0.160417	0.384402	0	0	15:47:56.623	
0.658278227	0.232685	0.384402	0	0	15:47:57.634	
0.658289969	0.295953	0.384402	0	0	15:47:58.649	
0.658301592	0.331928	0.380132	0	0	15:47:59.663	
0.658313334	0.331928	0.355992	0	0	15:48:00.666	
0.658324897	0.331928	0.315367	0	0	15:48:01.677	
0.658336639	0.331928	0.292464	0	0	15:48:02.692	
0.658348203	0.322107	0.302512	0	0	15:48:03.702	
0.658359945	0.250826	0.331455	0	0	15:48:04.703	
0.658371568	0.138525	0.366507	0	0	15:48:05.717	
0.65838331	0.103932	0.380606	0	0	15:48:06.719	
0.658394873	0.106366	0.381462	0	0	15:48:07.730	
0.658406496	0.165705	0.381462	0	0	15:48:08.743	
0.658418357	0.268405	0.381462	0	0	15:48:09.759	
0.65843004	0.32805	0.381266	0	0	15:48:10.774	
0.658441901	0.343745	0.376032	0	0	15:48:11.786	
0.658453345	0.343745	0.349129	0	0	15:48:12.800	
0.658465207	0.343745	0.304429	0	0	15:48:13.801	
0.658476651	0.343745	0.287781	0	0	15:48:14.812	
0.658488572	0.331813	0.296572	0	0	15:48:15.826	
0.658500195	0.20515	0.328628	0	0	15:48:16.836	
0.658512056	0.134781	0.365825	0	0	15:48:17.848	
0.6585235	0.101984	0.377107	0	0	15:48:18.853	
0.658535361	0.108062	0.377681	0	0	15:48:19.865	
0.658546984	0.172235	0.377681	0	0	15:48:20.875	
0.658558547	0.232685	0.377681	0	0	15:48:21.887	
0.65857029	0.310626	0.377541	0	0	15:48:22.897	
0.658581853	0.327683	0.371492	0	0	15:48:23.911	
0.658593595	0.327683	0.340262	0	0	15:48:24.919	
0.658605278	0.327683	0.307918	0	0	15:48:25.935	
0.658617139	0.327683	0.287423	0	0	15:48:26.948	
0.658628702	0.315567	0.296295	0	0	15:48:27.961	
0.658640444	0.208847	0.330413	0	0	15:48:28.965	
0.658652067	0.124689	0.363622	0	0	15:48:29.977	
0.658663809	0.0970987	0.373293	0	0	15:48:30.989	
0.658675432	0.11457	0.37348	0	0	15:48:32.2	
0.658687294	0.193536	0.37348	0	0	15:48:33.14	
0.658698738	0.279622	0.37348	0	0	15:48:34.24	
0.658710599	0.322405	0.372998	0	0	15:48:35.36	
0.658722222	0.327224	0.363734	0	0	15:48:36.46	
0.658733964	0.327224	0.327737	0	0	15:48:37.58	
0.658745706	0.327224	0.288341	0	0	15:48:38.72	
0.65875715	0.327224	0.28435	0	0	15:48:39.86	
0.658769071	0.298439	0.294643	0	0	15:48:40.93	
0.658780456	0.17649	0.330981	0	0	15:48:41.108	
0.658792198	0.119484	0.361469	0	0	15:48:42.108	
0.658803821	0.0945261	0.368439	0	0	15:48:43.121	
0.658815682	0.114283	0.368439	0	0	15:48:44.133	
0.658827364	0.189914	0.368439	0	0	15:48:45.147	
0.658839226	0.257454	0.368439	0	0	15:48:46.162	
0.65885067	0.295202	0.367739	0	0	15:48:47.171	
0.658862531	0.300606	0.357548	0	0	15:48:48.183	
