"Data Cache: Temp PI Data"
"Start logging at 11/05/2024 15:07:26"
"Current index value = 1987"
Day Fraction	Raw Ratio	Ratio Temp	Emiss Temp	Err Ratio Temp	Err Emiss Temp	Time	
0.632348895	1.06346	610.208	589.545	0	0	15:10:37.601	
0.63236028	1.07711	604.956	589.279	0	0	15:10:38.604	
0.632372022	1.07944	604.062	588.96	0	0	15:10:39.601	
0.632383585	1.08124	603.368	589.338	0	0	15:10:40.595	
0.632395327	1.08171	603.188	589.516	0	0	15:10:41.614	
0.63240695	1.08332	602.569	589.713	0	0	15:10:42.624	
0.632418692	1.08324	602.6	589.453	0	0	15:10:43.638	
0.632430315	1.08595	601.556	589.276	0	0	15:10:44.649	
0.632442176	1.07941	604.074	589.053	0	0	15:10:45.642	
0.63245362	1.0739	606.192	589.514	0	0	15:10:46.655	
0.632465541	1.06419	609.926	590.167	0	0	15:10:47.667	
0.632477283	1.05957	611.704	590.424	0	0	15:10:48.672	
0.632488847	1.0735	606.347	590.007	0	0	15:10:49.689	
0.632500589	1.07226	606.825	590.074	0	0	15:10:50.699	
0.632512212	1.07406	606.129	590.371	0	0	15:10:51.707	
0.632524073	1.07667	605.126	590.715	0	0	15:10:52.724	
0.632535517	1.08345	602.518	591.203	0	0	15:10:53.735	
0.632547259	1.09155	599.619	590.95	0	0	15:10:54.746	
0.632558882	1.09649	598.41	590.959	0	0	15:10:55.760	
0.632570744	1.09627	598.463	591.888	0	0	15:10:56.756	
0.632582307	1.10578	596.135	592.56	0	0	15:10:57.757	
0.632594109	1.10586	596.114	594.116	0	0	15:10:58.768	
0.632605731	1.10733	595.755	595.246	0	0	15:10:59.779	
0.632617593	1.0996	597.649	597.111	0	0	15:11:00.789	
0.632629156	1.09522	598.722	599.119	0	0	15:11:01.802	
0.632640958	1.08394	602.331	599.318	0	0	15:11:02.814	
0.632652581	1.0766	605.154	600.129	0	0	15:11:03.826	
0.632664442	1.06366	610.13	601.298	0	0	15:11:04.834	
0.632676005	1.06247	610.588	601.659	0	0	15:11:05.844	
0.632687747	1.05735	612.557	601.76	0	0	15:11:06.856	
0.63269937	1.06447	609.817	602.102	0	0	15:11:07.862	
0.632711291	1.07397	606.167	602.263	0	0	15:11:08.870	
0.632722855	1.08001	603.844	602.348	0	0	15:11:09.886	
0.632734418	1.0854	601.768	602.509	0	0	15:11:10.894	
0.63274616	1.09748	598.168	602.571	0	0	15:11:11.905	
0.632757664	1.1015	597.182	601.396	0	0	15:11:12.912	
0.632769525	1.09902	597.789	600.056	0	0	15:11:13.919	
0.632780969	1.10542	596.221	596.649	0	0	15:11:14.931	
0.63279283	1.11073	594.92	593.833	0	0	15:11:15.942	
0.632804275	1.11098	594.859	593.581	0	0	15:11:16.954	
0.632816195	1.11564	593.719	593.234	0	0	15:11:17.967	
0.632827818	1.1006	597.402	591.883	0	0	15:11:18.976	
0.63283968	1.0968	598.333	591.909	0	0	15:11:19.984	
0.632851243	1.09066	599.838	591.528	0	0	15:11:20.991	
0.632862806	1.07627	605.282	590.49	0	0	15:11:21.994	
0.632874548	1.07306	606.517	589.985	0	0	15:11:23.10	
0.632886171	1.06416	609.939	589.329	0	0	15:11:24.22	
0.632897913	1.05445	613.672	588.667	0	0	15:11:25.31	
0.632909536	1.04398	617.701	588.255	0	0	15:11:26.31	
0.632921398	1.03971	619.343	588.512	0	0	15:11:27.46	
0.63293308	1.01846	627.517	588.258	0	0	15:11:28.60	
0.632944942	1.01614	628.407	588.729	0	0	15:11:29.72	
0.632956505	1.0187	627.423	589.089	0	0	15:11:30.84	
0.632968247	1.01569	628.582	589.007	0	0	15:11:31.95	
0.63297987	1.01857	627.473	589.083	0	0	15:11:32.107	
0.632991791	1.03109	622.659	589.466	0	0	15:11:33.114	
0.633003354	1.03945	619.442	589.011	0	0	15:11:34.126	
0.633015096	1.0605	611.345	588.69	0	0	15:11:35.135	
0.633026719	1.07677	605.087	588.673	0	0	15:11:36.140	
0.63303858	1.0863	601.422	588.524	0	0	15:11:37.149	
0.633050025	1.09675	598.347	588.316	0	0	15:11:38.153	
0.633061767	1.10551	596.2	587.905	0	0	15:11:39.158	
0.633073509	1.10604	596.071	587.909	0	0	15:11:40.167	
0.633084953	1.10234	596.976	587.74	0	0	15:11:41.175	
0.633096814	1.10945	595.234	588.038	0	0	15:11:42.180	
0.633108318	1.10807	595.572	587.764	0	0	15:11:43.186	
0.633120179	1.11155	594.721	587.507	0	0	15:11:44.190	
0.633131564	1.11201	594.608	587.123	0	0	15:11:45.190	
0.633143306	1.10483	596.366	587.244	0	0	15:11:46.200	
